year,month,monthly_anomaly,monthly_uncertainty
1819,4,-1.21,1.242
1819,5,-1.126,1.853
1819,6,-0.948,1.826
1819,7,-1.322,1.17
1819,8,-1.257,1.24
1819,9,-1.015,1.166
1819,10,-0.479,0.884
1819,11,-0.902,1.503
1819,12,-1.12,1.547
1820,1,-1.73,2.077
1820,2,-0.654,2.142
1820,3,-0.553,1.35
1820,4,0.649,1.161
1820,5,0.634,1.167
1820,6,-0.184,1.104
1820,7,-0.735,0.969
1820,8,-1.607,0.885
1820,9,-0.776,1.515
1820,10,-1.611,1.224
1820,11,-1.46,1.051
1820,12,-1.785,1.54
1821,1,0.436,1.754
1821,2,0.617,2.459
1821,3,-0.055,1.42
1821,4,-0.482,0.99
1821,5,-0.005,1.171
1821,6,-1.015,1.521
1821,7,-1.366,1.066
1821,8,-0.833,0.741
1821,9,-2.023,0.894
1821,10,-0.862,0.915
1821,11,-0.556,1.673
1821,12,-0.935,1.161
1822,1,0.097,2.137
1822,2,0.998,1.883
1822,3,2.213,2.01
1822,4,-0.279,1.734
1822,5,-0.827,1.085
1822,6,-0.398,0.745
1822,7,-0.399,0.886
1822,8,-0.745,0.88
1822,9,-1.397,1.405
1822,10,-1.452,1.311
1822,11,-1.556,1.176
1822,12,-2.583,1.398
1823,1,-0.942,1.608
1823,2,-1.079,1.392
1823,3,-0.415,1.469
1823,4,-0.836,1.351
1823,5,-0.831,1.089
1823,6,0.157,0.779
1823,7,-0.234,0.821
1823,8,-0.852,0.793
1823,9,-1.623,1.197
1823,10,-1.614,1.054
1823,11,-1.617,1.441
1823,12,-1.18,1.711
1824,1,0.221,1.596
1824,2,-0.47,1.808
1824,3,-0.002,1.149
1824,4,0.097,0.988
1824,5,-0.078,1.051
1824,6,-0.185,1.474
1824,7,0.424,1.237
1824,8,-0.463,0.869
1824,9,-0.582,1.133
1824,10,-1.128,1.118
1824,11,-0.452,1.41
1824,12,1.42,2.072
1825,1,0.346,1.984
1825,2,-0.397,1.429
1825,3,-0.148,1.438
1825,4,0.857,1.347
1825,5,-0.333,1.097
1825,6,0.09,0.791
1825,7,-0.821,1.048
1825,8,-0.78,1.215
1825,9,-1.188,0.796
1825,10,-1.04,1.183
1825,11,0.156,2.091
1825,12,-0.288,1.174
1826,1,-0.531,1.615
1826,2,-1.598,1.594
1826,3,-0.431,1.712
1826,4,0.126,1.251
1826,5,0.624,0.962
1826,6,-0.258,1.041
1826,7,0.206,0.609
1826,8,-0.691,0.918
1826,9,-0.908,0.763
1826,10,-0.538,1.199
1826,11,0.872,0.85
1826,12,1.583,1.42
1827,1,1.266,2.067
1827,2,0.645,1.541
1827,3,0.701,1.532
1827,4,1.343,1.393
1827,5,0.503,1.154
1827,6,0.013,1.075
1827,7,0.253,0.609
1827,8,-0.188,1.074
1827,9,-0.889,1.034
1827,10,-0.64,0.907
1827,11,0.263,1.231
1827,12,-0.483,1.329
1828,1,-1.73,1.705
1828,2,-1.172,1.648
1828,3,0.391,1.35
1828,4,0.497,1.339
1828,5,0.058,1.266
1828,6,0.333,0.983
1828,7,0.043,1.056
1828,8,-0.355,0.727
1828,9,-2.032,0.768
1828,10,-0.509,0.888
1828,11,-0.222,1.069
1828,12,-0.815,1.903
1829,1,-0.598,1.47
1829,2,-1.512,1.679
1829,3,-0.412,1.354
1829,4,-0.597,1.235
1829,5,-0.037,1.255
1829,6,-0.769,1.003
1829,7,-0.228,1.039
1829,8,-0.652,0.888
1829,9,-1.462,0.664
1829,10,-0.611,0.98
1829,11,-0.939,1.339
1829,12,-0.908,1.781
1830,1,0.604,2.224
1830,2,1.005,1.749
1830,3,-0.747,1.31
1830,4,0.449,0.993
1830,5,-1.046,0.928
1830,6,-0.725,1.093
1830,7,0.289,1.132
1830,8,-0.58,1.032
1830,9,-1.632,1.015
1830,10,-1.181,1.124
1830,11,1.457,1.207
1830,12,0.96,1.437
1831,1,-0.272,1.835
1831,2,-0.733,3.012
1831,3,-0.744,1.617
1831,4,-0.585,1.036
1831,5,-0.351,1.192
1831,6,-0.455,1.337
1831,7,-0.831,0.746
1831,8,-1.682,0.944
1831,9,-2.041,1.057
1831,10,-1.422,1.165
1831,11,-1.482,1.795
1831,12,-1.384,1.514
1832,1,-0.635,1.8
1832,2,-1.273,1.518
1832,3,-0.698,1.474
1832,4,-0.338,0.876
1832,5,-0.798,1.157
1832,6,-0.965,0.687
1832,7,-0.968,1.391
1832,8,-1.74,1.148
1832,9,-1.774,0.872
1832,10,-0.647,0.745
1832,11,-1.7,1.202
1832,12,-2.332,1.745
1833,1,-0.281,1.535
1833,2,-0.403,1.394
1833,3,-1.119,1.617
1833,4,-0.541,0.955
1833,5,-0.607,0.773
1833,6,-0.503,0.805
1833,7,-0.872,0.982
1833,8,-0.858,0.767
1833,9,-0.917,0.927
1833,10,-1.211,0.73
1833,11,0.758,1.329
1833,12,-0.222,1.562
1834,1,-2.187,1.791
1834,2,-0.489,1.302
1834,3,0.403,1.152
1834,4,-0.213,0.979
1834,5,-0.051,0.832
1834,6,-0.741,0.704
1834,7,-0.508,0.613
1834,8,-0.733,0.56
1834,9,-0.707,0.666
1834,10,-0.665,0.872
1834,11,0.609,1.214
1834,12,-0.312,1.098
