country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini coefficient
Kosovo,2016,5.7594122886657715,9.164076805114746,0.8238027095794678,62.176429748535156,0.8273985981941223,0.11710304766893387,0.9408979415893555,0.7038869857788086,0.14960671961307526,0.3137645721435547,,,0.4074743390083313
Kuwait,2016,5.947194576263428,11.139856338500977,0.8452220559120178,65.27143096923828,0.8409671783447266,-0.115944042801857,,0.6882872581481934,0.3149229884147644,,-0.42088061571121216,-0.10641151666641235,0.5388387441635132
Kyrgyzstan,2016,4.856534004211426,8.099241256713867,0.9143754839897156,62.679710388183594,0.8139392137527466,0.07891861349344254,0.9169228076934814,0.7781712412834167,0.12609967589378357,0.5275701880455017,-0.5727211833000183,-0.8562623858451843,0.4018557667732239
Latvia,2016,5.940446376800537,10.073972702026367,0.9170739650726318,65.10926055908203,0.685299277305603,-0.1644541472196579,0.8676396012306213,0.6537512540817261,0.2313835322856903,0.3152613043785095,0.6312988996505737,0.8798151612281799,0.3840254545211792
Lebanon,2016,5.270723819732666,9.493102073669434,0.8278859257698059,68.71556854248047,0.6573574542999268,0.030867047607898712,0.8531144857406616,0.5526511073112488,0.2634456157684326,0.13795143365859985,-1.038987398147583,-0.6741521954536438,0.32283514738082886
Lesotho,2016,3.8082048892974854,7.914381980895996,0.7980592846870422,46.48040008544922,0.7294898629188538,-0.10078668594360352,0.7428733706474304,0.7324655652046204,0.2702834904193878,0.6092690229415894,-0.10921992361545563,-0.34722355008125305,0.6764373183250427
Liberia,2016,3.3546760082244873,6.624804973602295,0.6426146030426025,52.385128021240234,0.7634760141372681,0.08607717603445053,0.9012674689292908,0.6355275511741638,0.5090466737747192,0.5442469120025635,-0.32088324427604675,-0.9872715473175049,0.5581212639808655
Libya,2016,5.4335832595825195,9.625382423400879,0.8760658502578735,61.38998794555664,0.8223848342895508,-0.13013188540935516,,0.7177850604057312,0.38307374715805054,,-1.790413498878479,-1.900852084159851,0.48071134090423584
Lithuania,2016,5.8655524253845215,10.236528396606445,0.937873363494873,66.51252746582031,0.6142393350601196,-0.27543574571609497,0.9493926763534546,0.5941672921180725,0.24985574185848236,0.2796385586261749,0.8926374912261963,0.9775111079216003,0.35548827052116394
Luxembourg,2016,6.96734094619751,11.459155082702637,0.941260576248169,72.20130920410156,0.882365345954895,0.0052976892329752445,0.3563363254070282,0.7579497694969177,0.1923007071018219,0.6789778470993042,1.4218887090682983,1.8013229370117188,0.31180426478385925
