Category,Movie,Name,Winner,Year
Animated Feature Film,Kung Fu Panda 2,Jennifer Yuh Nelson,Lost,2012
Animated Feature Film,Puss in Boots,Chris Miller,Lost,2012
Art Direction,Hugo,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Won,2012
Art Direction,The Artist,Production Design: Laurence Bennett; Set Decoration: Robert Gould,Lost,2012
Art Direction,Harry Potter and the Deathly Hallows Part 2,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,Lost,2012
Art Direction,Midnight in Paris,Production Design: Anne Seibel; Set Decoration: Hélène Dubreuil,Lost,2012
Art Direction,War Horse,Production Design: Rick Carter; Set Decoration: Lee Sandales,Lost,2012
Cinematography,Hugo,Robert Richardson,Won,2012
Cinematography,The Artist,Guillaume Schiffman,Lost,2012
Cinematography,The Girl with the Dragon Tattoo,Jeff Cronenweth,Lost,2012
Cinematography,The Tree of Life,Emmanuel Lubezki,Lost,2012
Cinematography,War Horse,Janusz Kaminski,Lost,2012
Costume Design,The Artist,Mark Bridges,Won,2012
Costume Design,Anonymous,Lisy Christl,Lost,2012
Costume Design,Hugo,Sandy Powell,Lost,2012
Costume Design,Jane Eyre,Michael O'Connor,Lost,2012
Costume Design,W.E.,Arianne Phillips,Lost,2012
Directing,The Artist,Michel Hazanavicius,Won,2012
Directing,The Descendants,Alexander Payne,Lost,2012
Directing,Hugo,Martin Scorsese,Lost,2012
Directing,Midnight in Paris,Woody Allen,Lost,2012
Directing,The Tree of Life,Terrence Malick,Lost,2012
Documentary (Feature),Undefeated,"TJ Martin, Dan Lindsay and Rich Middlemas",Won,2012
Documentary (Feature),Hell and Back Again,Danfung Dennis and Mike Lerner,Lost,2012
Documentary (Feature),If a Tree Falls: A Story of the Earth Liberation Front,Marshall Curry and Sam Cullman,Lost,2012
Documentary (Feature),Paradise Lost 3: Purgatory,Joe Berlinger and Bruce Sinofsky,Lost,2012
Documentary (Feature),Pina,Wim Wenders and Gian-Piero Ringel,Lost,2012
Documentary (Short Subject),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy,Won,2012
Documentary (Short Subject),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,Robin Fryday and Gail Dolgin,Lost,2012
Documentary (Short Subject),God Is the Bigger Elvis,Rebecca Cammisa and Julie Anderson,Lost,2012
Documentary (Short Subject),Incident in New Baghdad,James Spione,Lost,2012
Documentary (Short Subject),The Tsunami and the Cherry Blossom,Lucy Walker and Kira Carstensen,Lost,2012
Film Editing,The Girl with the Dragon Tattoo,Kirk Baxter and Angus Wall,Won,2012
Film Editing,The Artist,Anne-Sophie Bion and Michel Hazanavicius,Lost,2012
Film Editing,The Descendants,Kevin Tent,Lost,2012
Film Editing,Hugo,Thelma Schoonmaker,Lost,2012
Film Editing,Moneyball,Christopher Tellefsen,Lost,2012
Foreign Language Film,A Separation,Iran,Won,2012
Foreign Language Film,Bullhead,Belgium,Lost,2012
Foreign Language Film,Footnote,Israel,Lost,2012
Foreign Language Film,In Darkness,Poland,Lost,2012
Foreign Language Film,Monsieur Lazhar,Canada,Lost,2012
Jean Hersholt Humanitarian Award,,Oprah Winfrey,Won,2012
Makeup,The Iron Lady,Mark Coulier and J. Roy Helland,Won,2012
Makeup,Albert Nobbs,"Martial Corneville, Lynn Johnston and Matthew W. Mungle",Lost,2012
Makeup,Harry Potter and the Deathly Hallows Part 2,"Nick Dudman, Amanda Knight and Lisa Tomblin",Lost,2012
Music (Original Score),The Artist,Ludovic Bource,Won,2012
Music (Original Score),The Adventures of Tintin,John Williams,Lost,2012
Music (Original Score),Hugo,Howard Shore,Lost,2012
Music (Original Score),Tinker Tailor Soldier Spy,Alberto Iglesias,Lost,2012
Music (Original Score),War Horse,John Williams,Lost,2012
Music (Original Song),The Muppets,"""Man Or Muppet"" in The Muppets; Music and Lyric by Bret McKenzie",Won,2012
Music (Original Song),Rio,"Real In Rio in ""Rio"" Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett",Lost,2012
Best Picture,The Artist,"Thomas Langmann, Producer",Won,2012
Best Picture,The Descendants,"Jim Burke, Alexander Payne and Jim Taylor, Producers",Lost,2012
Best Picture,Extremely Loud & Incredibly Close,"Scott Rudin, Producer",Lost,2012
Best Picture,The Help,"Brunson Green, Chris Columbus and Michael Barnathan, Producers",Lost,2012
Best Picture,Hugo,"Graham King and Martin Scorsese, Producers",Lost,2012
Best Picture,Midnight in Paris,"Letty Aronson and Stephen Tenenbaum, Producers",Lost,2012
Best Picture,Moneyball,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers",Lost,2012
Best Picture,The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers",Lost,2012
Best Picture,War Horse,"Steven Spielberg and Kathleen Kennedy, Producers",Lost,2012
Short Film (Animated),The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce and Brandon Oldenburg,Won,2012
Short Film (Animated),Dimanche/Sunday,Patrick Doyon,Lost,2012
Short Film (Animated),La Luna,Enrico Casarosa,Lost,2012
Short Film (Animated),A Morning Stroll,Grant Orchard and Sue Goffe,Lost,2012
Short Film (Animated),Wild Life,Amanda Forbis and Wendy Tilby,Lost,2012
Short Film (Live Action),The Shore,Terry George and Oorlagh George,Won,2012
Short Film (Live Action),Pentecost,Peter McDonald and Eimear O'Kane,Lost,2012
Short Film (Live Action),Raju,Max Zähle and Stefan Gieren,Lost,2012
Short Film (Live Action),Time Freak,Andrew Bowler and Gigi Causey,Lost,2012
Sound Editing,Hugo,Philip Stockton and Eugene Gearty,Won,2012
Sound Editing,Drive,Lon Bender and Victor Ray Ennis,Lost,2012
Sound Editing,The Girl with the Dragon Tattoo,Ren Klyce,Lost,2012
Sound Editing,Transformers: Dark of the Moon,Ethan Van der Ryn and Erik Aadahl,Lost,2012
Sound Editing,War Horse,Richard Hymns and Gary Rydstrom,Lost,2012
Sound Mixing,Hugo,Tom Fleischman and John Midgley,Won,2012
Sound Mixing,The Girl with the Dragon Tattoo,"David Parker, Michael Semanick, Ren Klyce and Bo Persson",Lost,2012
Sound Mixing,Moneyball,"Deb Adair, Ron Bochar, David Giammarco and Ed Novick",Lost,2012
Sound Mixing,Transformers: Dark of the Moon,"Greg P. Russell, Gary Summers, Jeffrey J. Haboush and Peter J. Devlin",Lost,2012
Sound Mixing,War Horse,"Gary Rydstrom, Andy Nelson, Tom Johnson and Stuart Wilson",Lost,2012
Visual Effects,Hugo,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning",Won,2012
Visual Effects,Harry Potter and the Deathly Hallows Part 2,"Tim Burke, David Vickery, Greg Butler and John Richardson",Lost,2012
Visual Effects,Real Steel,"Erik Nash, John Rosengrant, Dan Taylor and Swen Gillberg",Lost,2012
